name,era,url
Miguel Abloniz,Contemporary,https://www.cglib.org/category/20th-century/abloniz-miguel/
John Addison,Contemporary,https://www.cglib.org/category/20th-century/addison-john/
Ulf G Ahslund,Contemporary,https://www.cglib.org/category/20th-century/ahslund-ulf-g/
Morris Albert,Contemporary,https://www.cglib.org/category/20th-century/albert-morris/
Quirino Baez Allende,Contemporary,https://www.cglib.org/category/20th-century/allende-quirino-baez/
Carlos Almaran,Contemporary,https://www.cglib.org/category/20th-century/almaran-carlos/
Maria Luisa Anido,Contemporary,https://www.cglib.org/category/20th-century/anido-maria-luisa/
Luigi Oreste Anzaghi,Contemporary,https://www.cglib.org/category/20th-century/anzaghi-luigi-oreste/
Jose Ardevol,Contemporary,https://www.cglib.org/category/20th-century/ardevol-jose/
Mario Rodriguez Arenas,Contemporary,https://www.cglib.org/category/20th-century/arenas-mario-rodriguez/
Harold Arlen,Contemporary,https://www.cglib.org/category/20th-century/arlen-harold/
Hector Ayala,Contemporary,https://www.cglib.org/category/20th-century/ayala-hector/
Waldir Azevedo,Contemporary,https://www.cglib.org/category/20th-century/azevedo-waldir/
Jose Azpiazu,Contemporary,https://www.cglib.org/category/20th-century/azpiazu-jose/
Alberto Baltar,Contemporary,https://www.cglib.org/category/20th-century/baltar-alberto/
Paulo Barreiros,Contemporary,https://www.cglib.org/category/20th-century/barreiros-paulo/
Héctor Eduardo Barros,Contemporary,https://www.cglib.org/category/20th-century/barros-hector-eduardo/
Ary Barroso,Contemporary,https://www.cglib.org/category/20th-century/barroso-ary/
Jose Barroso,Contemporary,https://www.cglib.org/category/20th-century/barroso-jose/
Béla Bartók,Contemporary,https://www.cglib.org/category/20th-century/bartok-bela/
Rene Bartoli,Contemporary,https://www.cglib.org/category/20th-century/bartoli-rene/
Rausser F Bassiak G,Contemporary,https://www.cglib.org/category/20th-century/bassiak-g-rausser-f/
Luis Fortunato Benitez Lopez,Contemporary,https://www.cglib.org/category/20th-century/benitez-lopez-luis-fortunato/
Eduardo D Bensadon,Contemporary,https://www.cglib.org/category/20th-century/bensadon-eduardo-d/
Dino Berruti,Contemporary,https://www.cglib.org/category/20th-century/berruti-dino/
Costantino Bertucci,Contemporary,https://www.cglib.org/category/20th-century/bertucci-costantino/
Gerónimo Bianqui Piñero,Contemporary,https://www.cglib.org/category/20th-century/bianqui-pinero-geronimo/
Zarh Myron Bickford,Contemporary,https://www.cglib.org/category/20th-century/bickford-zarh-myron/
Renzo Bisi,Contemporary,https://www.cglib.org/category/20th-century/bisi-renzo/
Angelo Bitelli,Contemporary,https://www.cglib.org/category/20th-century/bitelli-angelo/
