name,era,url
Tomaso Giovanni Albinoni,Baroque,https://www.cglib.org/category/baroque/albinoni-tomaso-giovanni/
R Asuke,Baroque,https://www.cglib.org/category/baroque/asuke-r/
Johann Sebastian Bach,Baroque,https://www.cglib.org/category/baroque/bach-johann-sebastian/
Ernst Gottlieb Baron,Baroque,https://www.cglib.org/category/baroque/baron-ernst-gottlieb/
Angelo Michele Bartolotti,Baroque,https://www.cglib.org/category/baroque/bartolotti-angelo-michele/
Johann Andreas Bohr von Bohrenfels,Baroque,https://www.cglib.org/category/baroque/bohrenfels-johann-andreas-bohr-von/
Joseph Bodin de Boismortier,Baroque,https://www.cglib.org/category/baroque/boismortier-joseph-bodin-de/
Giuseppe Borsilli,Baroque,https://www.cglib.org/category/baroque/borsilli-giuseppe/
Dieterich Buxtehude,Baroque,https://www.cglib.org/category/baroque/buxtehude-dieterich/
Antonio Caldara,Baroque,https://www.cglib.org/category/baroque/caldara-antonio/
Carlo Calvi,Baroque,https://www.cglib.org/category/baroque/calvi-carlo/
Francois Campion,Baroque,https://www.cglib.org/category/baroque/campion-francois/
Antonio Carbonchi,Baroque,https://www.cglib.org/category/baroque/carbonchi-antonio/
Robert Carr,Baroque,https://www.cglib.org/category/baroque/carr-robert/
Francesco Corbetta,Baroque,https://www.cglib.org/category/baroque/corbetta-francesco/
Francois Couperin,Baroque,https://www.cglib.org/category/baroque/couperin-francois/
William Croft,Baroque,https://www.cglib.org/category/baroque/croft-william/
Francis Cutting,Baroque,https://www.cglib.org/category/baroque/cutting-francis/
Paul Charles Durant,Baroque,https://www.cglib.org/category/baroque/durant-paul-charles/
Adam Falkenhagen,Baroque,https://www.cglib.org/category/baroque/falkenhagen-adam/
Girolamo Frescobaldi,Baroque,https://www.cglib.org/category/baroque/frescobaldi-girolamo/
Johann Joseph Fux,Baroque,https://www.cglib.org/category/baroque/fux-johann-joseph/
Vincenzo Galilei,Baroque,https://www.cglib.org/category/baroque/galilei-vincenzo/
Alexandre Gallot,Baroque,https://www.cglib.org/category/baroque/gallot-alexandre/
Jacques Gallot,Baroque,https://www.cglib.org/category/baroque/gallot-jacques/
Ennemond Gaultier,Baroque,https://www.cglib.org/category/baroque/gaultier-ennemond/
Georg Gebel,Baroque,https://www.cglib.org/category/baroque/gebel-georg/
Adam Franz Ginter,Baroque,https://www.cglib.org/category/baroque/ginter-adam-franz/
Johann Laurentius Gleimius,Baroque,https://www.cglib.org/category/baroque/gleimius-johann-laurentius/
Ferdinand Graf von Bergen,Baroque,https://www.cglib.org/category/baroque/graf-von-bergen-ferdinand/
Francisco Guerau,Baroque,https://www.cglib.org/category/baroque/guerau-francisco/
Johann Gumprecht,Baroque,https://www.cglib.org/category/baroque/gumprecht-johann/
Georg Friedrich Handel,Baroque,https://www.cglib.org/category/baroque/handel-georg-friedrich/
Johann Adolf Hasse,Baroque,https://www.cglib.org/category/baroque/hasse-johann-adolf/
Cuthbert Hely,Baroque,https://www.cglib.org/category/baroque/hely-cuthbert/
Johann Christoph Hobach,Baroque,https://www.cglib.org/category/baroque/hobach-johann-christoph/
Wolfgang Adam Anton von Hoffer,Baroque,https://www.cglib.org/category/baroque/hoffer-wolfgang-adam-anton-von/
P Ilgner,Baroque,https://www.cglib.org/category/baroque/ilgner-p/
Johann Christian Jacobi,Baroque,https://www.cglib.org/category/baroque/jacobi-johann-christian/
Johann Hieronymus Kapsberger,Baroque,https://www.cglib.org/category/baroque/kapsberger-johann-hieronymus/
David Kellner,Baroque,https://www.cglib.org/category/baroque/kellner-david/
Jakob Kremberg,Baroque,https://www.cglib.org/category/baroque/kremberg-jakob/
Adam Krieger,Baroque,https://www.cglib.org/category/baroque/krieger-adam/
Johann Kropffgans,Baroque,https://www.cglib.org/category/baroque/kropffgans-johann/
Johann Kuhnau,Baroque,https://www.cglib.org/category/baroque/kuhnau-johann/
Johann Michael Kühnel,Baroque,https://www.cglib.org/category/baroque/kuhnel-johann-michael/
Alex Lambert,Baroque,https://www.cglib.org/category/baroque/lambert-alex/
Wolff Jacob Lauffensteiner,Baroque,https://www.cglib.org/category/baroque/lauffensteiner-wolff-jacob/
William Lawes,Baroque,https://www.cglib.org/category/baroque/lawes-william/
Francois Le Cocq,Baroque,https://www.cglib.org/category/baroque/le-cocq-francois/
Jan Antonín Losy,Baroque,https://www.cglib.org/category/baroque/losy-jan-antonin/
