name,era,url
Carl Friedrich Abel,Classical,https://www.cglib.org/category/classical/abel-carl-friedrich/
Antonio Abreu,Classical,https://www.cglib.org/category/classical/abreu-antonio/
F Abtler,Classical,https://www.cglib.org/category/classical/abtler-f/
Semen Nikolaevich Aksenov,Classical,https://www.cglib.org/category/classical/aksenov-semen-nikolaevich/
Johann Andreas Amon,Classical,https://www.cglib.org/category/classical/amon-johann-andreas/
Ernst Gebhard Anschutz,Classical,https://www.cglib.org/category/classical/anschutz-ernst-gebhard/
Juan de Arizpacochaga,Classical,https://www.cglib.org/category/classical/arizpacochaga-juan-de/
Joaquín Asiaín,Classical,https://www.cglib.org/category/classical/asiain-joaquin/
Daniel-François-Esprit Auber,Classical,https://www.cglib.org/category/classical/auber-daniel-francois-esprit/
Edmond Audran,Classical,https://www.cglib.org/category/classical/audran-edmond/
Auguste Auersperg,Classical,https://www.cglib.org/category/classical/auersperg-auguste/
Carl Philipp Emanuel Bach,Classical,https://www.cglib.org/category/classical/bach-carl-philipp-emanuel/
Michael William Balfe,Classical,https://www.cglib.org/category/classical/balfe-michael-william/
James Ballard,Classical,https://www.cglib.org/category/classical/ballard-james/
Luigi Balochi,Classical,https://www.cglib.org/category/classical/balochi-luigi/
Francisco Baltar,Classical,https://www.cglib.org/category/classical/baltar-francisco/
Francisco Asenjo Barbieri,Classical,https://www.cglib.org/category/classical/barbieri-francisco-asenjo/
de Barco,Classical,https://www.cglib.org/category/classical/barco-de/
Ludwig van Beethoven,Classical,https://www.cglib.org/category/classical/beethoven-ludwig-van/
Carl Michael Bellman,Classical,https://www.cglib.org/category/classical/bellman-carl-michael/
Cosme José de Benito,Classical,https://www.cglib.org/category/classical/benito-cosme-jose-de/
J Bertini,Classical,https://www.cglib.org/category/classical/bertini-j/
Henri-Montan Berton,Classical,https://www.cglib.org/category/classical/berton-henri-montan/
Luigi Boccherini,Classical,https://www.cglib.org/category/classical/boccherini-luigi/
Nicholas Charles Bochsa,Classical,https://www.cglib.org/category/classical/bochsa-nicholas-charles/
Francois Adrien Boieldieu,Classical,https://www.cglib.org/category/classical/boieldieu-francois-adrien/
Pablo Bonrostro,Classical,https://www.cglib.org/category/classical/bonrostro-pablo/
Johann Heinrich Carl Bornhardt,Classical,https://www.cglib.org/category/classical/bornhardt-johann-heinrich-carl/
V Borrero,Classical,https://www.cglib.org/category/classical/borrero-v/
Bartolomeo Bortolazzi,Classical,https://www.cglib.org/category/classical/bortolazzi-bartolomeo/
F Brand,Classical,https://www.cglib.org/category/classical/brand-f/
Gustav Brandes,Classical,https://www.cglib.org/category/classical/brandes-gustav/
Anthony Brown,Classical,https://www.cglib.org/category/classical/brown-anthony/
Burjam,Classical,https://www.cglib.org/category/classical/burjam/
J Busch,Classical,https://www.cglib.org/category/classical/busch-j-g/
Dn Busto,Classical,https://www.cglib.org/category/classical/busto-dn-f-del/
Leonhard von Call,Classical,https://www.cglib.org/category/classical/call-leonhard-von/
Johann Nepomuk Capeller,Classical,https://www.cglib.org/category/classical/capeller-johann-nepomuk/
Matteo Carcassi,Classical,https://www.cglib.org/category/classical/carcassi-matteo/
Louis Ange Carpentras,Classical,https://www.cglib.org/category/classical/carpentras-louis-ange/
Ferdinando Carulli,Classical,https://www.cglib.org/category/classical/carulli-ferdinando/
Salvador de Gistau Castro,Classical,https://www.cglib.org/category/classical/castro-salvador-de-gistau/
Charles-Simon Catel,Classical,https://www.cglib.org/category/classical/catel-charles-simon/
Luigi Cherubini,Classical,https://www.cglib.org/category/classical/cherubini-luigi/
Domenico Cimarosa,Classical,https://www.cglib.org/category/classical/cimarosa-domenico/
Segundo Contreras,Classical,https://www.cglib.org/category/classical/contreras-segundo/
Thomas Cooke,Classical,https://www.cglib.org/category/classical/cooke-thomas/
Martin Pierre Dalvimare,Classical,https://www.cglib.org/category/classical/dalvimare-martin-pierre/
Pierre-Antoine-Dominique Della-Maria,Classical,https://www.cglib.org/category/classical/della-maria-pierre-antoine-dominique/
Christian Dickhut,Classical,https://www.cglib.org/category/classical/dickhut-christian/
Joseph Denis Doche,Classical,https://www.cglib.org/category/classical/doche-joseph-denis/
F Drexel,Classical,https://www.cglib.org/category/classical/drexel-f/
Louis Francois Philippe Drouet,Classical,https://www.cglib.org/category/classical/drouet-louis-francois-philippe/
Etienne Dunst,Classical,https://www.cglib.org/category/classical/dunst-etienne/
Francisco Estévez Aires,Classical,https://www.cglib.org/category/classical/estevez-aires-francisco/
Fernando Ferandiere,Classical,https://www.cglib.org/category/classical/ferandiere-fernando/
Fernando Ferrandiere,Classical,https://www.cglib.org/category/classical/ferrandiere-fernando/
Jean Baptiste de Fier,Classical,https://www.cglib.org/category/classical/fier-jean-baptiste-de/
P Fierlein,Classical,https://www.cglib.org/category/classical/fierlein-p-f/
François de Fossa,Classical,https://www.cglib.org/category/classical/fossa-francois-de/
Anton Bernhard Furstenau,Classical,https://www.cglib.org/category/classical/furstenau-anton-bernhard/
Kaspar Furstenau,Classical,https://www.cglib.org/category/classical/furstenau-kaspar/
Edmée-Sophie Garre Gail,Classical,https://www.cglib.org/category/classical/gail-edmee-sophie-garre/
Robert Graf von Gallenberg,Classical,https://www.cglib.org/category/classical/gallenberg-robert-graf-von/
Josep Galles,Classical,https://www.cglib.org/category/classical/galles-josep/
Guillaume Pierre Antoine Gatayes,Classical,https://www.cglib.org/category/classical/gatayes-guillaume-pierre-antoine/
Theodor Gaude,Classical,https://www.cglib.org/category/classical/gaude-theodor/
F Gelli,Classical,https://www.cglib.org/category/classical/gelli-f-vincent/
Mauro Giuliani,Classical,https://www.cglib.org/category/classical/giuliani-mauro/
