name,era,url
Muriel Anderson,Contemporary,https://www.cglib.org/category/modern/anderson-muriel/
Faramaz Aslani,Contemporary,https://www.cglib.org/category/modern/aslani-faramaz/
Dusan Bogdanovic,Contemporary,https://www.cglib.org/category/modern/bogdanovic-dusan/
Nadia Borislova,Contemporary,https://www.cglib.org/category/modern/borislova-nadia/
Leo Brouwer,Contemporary,https://www.cglib.org/category/modern/brouwer-leo/
Roland Dyens,Contemporary,https://www.cglib.org/category/modern/dyens-roland/
Sveinn Eythorsson,Contemporary,https://www.cglib.org/category/modern/eythorsson-sveinn/
Néstor Guestrin,Contemporary,https://www.cglib.org/category/modern/guestrin-nestor/
Takashi Iwagami,Contemporary,https://www.cglib.org/category/modern/iwagami-takashi/
Oleg Kiselev,Contemporary,https://www.cglib.org/category/modern/kiselev-oleg/
Stane Kranjc,Contemporary,https://www.cglib.org/category/modern/kranjc-stane/
Marie Linnemann,Contemporary,https://www.cglib.org/category/modern/linnemann-marie/
Edson Lopes,Contemporary,https://www.cglib.org/category/modern/lopes-edson/
Radan Papezik,Contemporary,https://www.cglib.org/category/modern/papezik-radan/
Jean-Louis Petit,Contemporary,https://www.cglib.org/category/modern/petit-jean-louis/
Magnus Petursson,Contemporary,https://www.cglib.org/category/modern/petursson-magnus/
Joaquim Serra Pica,Contemporary,https://www.cglib.org/category/modern/pica-joaquim-serra/
Adrien Politi,Contemporary,https://www.cglib.org/category/modern/politi-adrien/
Theo Radic,Contemporary,https://www.cglib.org/category/modern/radic-theo/
Ljudmil Rus,Contemporary,https://www.cglib.org/category/modern/rus-ljudmil/
Eythor Thorlaksson,Contemporary,https://www.cglib.org/category/modern/thorlaksson-eythor/
Thierry Tisserand,Contemporary,https://www.cglib.org/category/modern/tisserand-thierry/
Alain Verite,Contemporary,https://www.cglib.org/category/modern/verite-alain/
Armando Vidigal,Contemporary,https://www.cglib.org/category/modern/vidigal-armando/
Salvador Violla,Contemporary,https://www.cglib.org/category/modern/violla-salvador/
