name,era,url
Emanuel Adriaenssen,Renaissance,https://www.cglib.org/category/renaissance/adriaenssen-emanuel/
Emanuel Adrianssen,Renaissance,https://www.cglib.org/category/renaissance/adrianssen-emanuel/
Richard Allison,Renaissance,https://www.cglib.org/category/renaissance/allison-richard/
Thoinot Arbeau,Renaissance,https://www.cglib.org/category/renaissance/arbeau-thoinot/
Hugh Aston,Renaissance,https://www.cglib.org/category/renaissance/aston-hugh/
Pierre Attaingnant,Renaissance,https://www.cglib.org/category/renaissance/attaingnant-pierre/
Daniel Bacheler,Renaissance,https://www.cglib.org/category/renaissance/bacheler-daniel/
Robert Ballard,Renaissance,https://www.cglib.org/category/renaissance/ballard-robert/
Adriano Banchieri,Renaissance,https://www.cglib.org/category/renaissance/banchieri-adriano/
Melchiore de Barberis,Renaissance,https://www.cglib.org/category/renaissance/barberis-melchiore-de/
Giulio Cesare Barbetta,Renaissance,https://www.cglib.org/category/renaissance/barbetta-giulio-cesare/
Heinz Bischoff,Renaissance,https://www.cglib.org/category/renaissance/bischoff-heinz/
Baruch Bulman,Renaissance,https://www.cglib.org/category/renaissance/bulman-baruch/
William Byrd,Renaissance,https://www.cglib.org/category/renaissance/byrd-william/
Thomas Campion,Renaissance,https://www.cglib.org/category/renaissance/campion-thomas/
John Coperario,Renaissance,https://www.cglib.org/category/renaissance/coperario-john/
Marco Dall'Aquila,Renaissance,https://www.cglib.org/category/renaissance/dallaquila-marco/
Giovanni Battista Dalla Gostena,Renaissance,https://www.cglib.org/category/renaissance/dalla-gostena-giovanni-battista/
Joan Ambrosio Dalza,Renaissance,https://www.cglib.org/category/renaissance/dalza-joan-ambrosio/
John Danyel,Renaissance,https://www.cglib.org/category/renaissance/danyel-john/
John Dowland,Renaissance,https://www.cglib.org/category/renaissance/dowland-john/
Richard Farnaby,Renaissance,https://www.cglib.org/category/renaissance/farnaby-richard/
Alfonso Ferrabosco,Renaissance,https://www.cglib.org/category/renaissance/ferrabosco-alfonso/
Thomas Ford,Renaissance,https://www.cglib.org/category/renaissance/ford-thomas/
Miguel de Fuenllana,Renaissance,https://www.cglib.org/category/renaissance/fuenllana-miguel-de/
Giovanni Gabrieli,Renaissance,https://www.cglib.org/category/renaissance/gabrieli-giovanni/
Anton Wilhelm Heinrich Gleitsmann,Renaissance,https://www.cglib.org/category/renaissance/gleitsmann-anton-wilhelm-heinrich/
Anthony Holborne,Renaissance,https://www.cglib.org/category/renaissance/holborne-anthony/
Tobias Hume,Renaissance,https://www.cglib.org/category/renaissance/hume-tobias/
Simon Ives,Renaissance,https://www.cglib.org/category/renaissance/ives-simon/
Hans Judenkünig,Renaissance,https://www.cglib.org/category/renaissance/judenkunig-hans/
Adrian Le Roy,Renaissance,https://www.cglib.org/category/renaissance/le-roy-adrian/
Luys Milan,Renaissance,https://www.cglib.org/category/renaissance/milan-luys/
Francesco Da Milano,Renaissance,https://www.cglib.org/category/renaissance/milano-francesco-da/
Guillaume Morlaye,Renaissance,https://www.cglib.org/category/renaissance/morlaye-guillaume/
Thomas Morley,Renaissance,https://www.cglib.org/category/renaissance/morley-thomas/
Alonso Mudarra,Renaissance,https://www.cglib.org/category/renaissance/mudarra-alonso/
Luys de Narvaez,Renaissance,https://www.cglib.org/category/renaissance/narvaez-luys-de/
Jakubus Polak Reis,Renaissance,https://www.cglib.org/category/renaissance/polak-reis-jakubus/
Michael Praetorius,Renaissance,https://www.cglib.org/category/renaissance/praetorius-michael/
Josquin des Pres,Renaissance,https://www.cglib.org/category/renaissance/pres-josquin-des/
Enríquez de Valderrábano,Renaissance,https://www.cglib.org/category/renaissance/valderrabano-enriquez-de/
Matthaus Waissel,Renaissance,https://www.cglib.org/category/renaissance/waissel-matthaus/
Philip van Wilder,Renaissance,https://www.cglib.org/category/renaissance/wilder-philip-van/
