name,era,url
Zequinha de Abreu,Romantic,https://www.cglib.org/category/romantic/abreu-zequinha-de/
Adolphe Adam,Romantic,https://www.cglib.org/category/romantic/adam-adolphe/
Salvatore Agostini,Romantic,https://www.cglib.org/category/romantic/agostini-salvatore/
Dionisio Aguado,Romantic,https://www.cglib.org/category/romantic/aguado-dionisio/
Julián Aguirre,Romantic,https://www.cglib.org/category/romantic/aguirre-julian/
Waldemar Ahlén,Romantic,https://www.cglib.org/category/romantic/ahlen-waldemar/
Juan Alais,Romantic,https://www.cglib.org/category/romantic/alais-juan/
Antonio Alba,Romantic,https://www.cglib.org/category/romantic/alba-antonio/
Nicanor Albarellos,Romantic,https://www.cglib.org/category/romantic/albarellos-nicanor/
Isaac Albeniz,Romantic,https://www.cglib.org/category/romantic/albeniz-isaac/
Heinrich Albert,Romantic,https://www.cglib.org/category/romantic/albert-heinrich/
Nikolai Alexandrov,Romantic,https://www.cglib.org/category/romantic/alexandrov-nikolai/
Alexeeff,Romantic,https://www.cglib.org/category/romantic/alexeeff/
Bautista Almiron,Romantic,https://www.cglib.org/category/romantic/almiron-bautista/
Enrico Aloisi,Romantic,https://www.cglib.org/category/romantic/aloisi-enrico/
Giovanni Amato,Romantic,https://www.cglib.org/category/romantic/amato-giovanni/
Francesco Amoroso,Romantic,https://www.cglib.org/category/romantic/amoroso-francesco/
Giuseppe Anelli,Romantic,https://www.cglib.org/category/romantic/anelli-giuseppe/
Antoni Anson,Romantic,https://www.cglib.org/category/romantic/anson-antoni/
Marino Antonelli,Romantic,https://www.cglib.org/category/romantic/antonelli-marino/
Pedro Aperte,Romantic,https://www.cglib.org/category/romantic/aperte-pedro/
Julian Arcas,Romantic,https://www.cglib.org/category/romantic/arcas-julian/
Luigi Arditi,Romantic,https://www.cglib.org/category/romantic/arditi-luigi/
Rafael Arias,Romantic,https://www.cglib.org/category/romantic/arias-rafael/
Etienne Arnaud,Romantic,https://www.cglib.org/category/romantic/arnaud-etienne/
F Arnold,Romantic,https://www.cglib.org/category/romantic/arnold-f-w/
Emilio Arrieta,Romantic,https://www.cglib.org/category/romantic/arrieta-emilio/
Giorgio Ballig,Romantic,https://www.cglib.org/category/romantic/ballig-giorgio/
Girolamo Barbieri,Romantic,https://www.cglib.org/category/romantic/barbieri-girolamo/
John Barnett,Romantic,https://www.cglib.org/category/romantic/barnett-john/
Agustín Barrios,Romantic,https://www.cglib.org/category/romantic/barrios-agustin/
Angel Barrious,Romantic,https://www.cglib.org/category/romantic/barrious-angel/
Francesco Bathioli,Romantic,https://www.cglib.org/category/romantic/bathioli-francesco/
Eduard Bayer,Romantic,https://www.cglib.org/category/romantic/bayer-eduard/
Ángel Baylón,Romantic,https://www.cglib.org/category/romantic/baylon-angel/
Thomas Haynes Bayly,Romantic,https://www.cglib.org/category/romantic/bayly-thomas-haynes/
Amédée de Beauplan,Romantic,https://www.cglib.org/category/romantic/beauplan-amedee-de/
George Becker,Romantic,https://www.cglib.org/category/romantic/becker-george/
Vincenzo Bellini,Romantic,https://www.cglib.org/category/romantic/bellini-vincenzo/
G Bemis,Romantic,https://www.cglib.org/category/romantic/bemis-g-w/
Valentin Bender,Romantic,https://www.cglib.org/category/romantic/bender-valentin/
Angelo Maria Benincori,Romantic,https://www.cglib.org/category/romantic/benincori-angelo-maria/
Antoine Tranquille Berbiguier,Romantic,https://www.cglib.org/category/romantic/berbiguier-antoine-tranquille/
Hector Berlioz,Romantic,https://www.cglib.org/category/romantic/berlioz-hector/
Attilio Bernardini,Romantic,https://www.cglib.org/category/romantic/bernardini-attilio/
Alexander Bertioli,Romantic,https://www.cglib.org/category/romantic/bertioli-alexander/
Andr Binder,Romantic,https://www.cglib.org/category/romantic/binder-andr-alois/
Frederik Birket-Smith,Romantic,https://www.cglib.org/category/romantic/birket-smith-frederik/
Henry R Bishop,Romantic,https://www.cglib.org/category/romantic/bishop-henry-r/
Georges Bizet,Romantic,https://www.cglib.org/category/romantic/bizet-georges/
John Blockley,Romantic,https://www.cglib.org/category/romantic/blockley-john/
Carl Blum,Romantic,https://www.cglib.org/category/romantic/blum-carl/
Johann Nepomuk von Bobrowicz,Romantic,https://www.cglib.org/category/romantic/bobrowicz-johann-nepomuk-von/
F Bodstein,Romantic,https://www.cglib.org/category/romantic/bodstein-f-a/
Arrigo Boito,Romantic,https://www.cglib.org/category/romantic/boito-arrigo/
H Bollman,Romantic,https://www.cglib.org/category/romantic/bollman-h/
Oreste Bongini,Romantic,https://www.cglib.org/category/romantic/bongini-oreste/
C Bono,Romantic,https://www.cglib.org/category/romantic/bono-c/
Alexander Borodin,Romantic,https://www.cglib.org/category/romantic/borodin-alexander/
Jacques Bosch,Romantic,https://www.cglib.org/category/romantic/bosch-jacques/
Will Bostwick,Romantic,https://www.cglib.org/category/romantic/bostwick-will-j/
Jean Joseph Bott,Romantic,https://www.cglib.org/category/romantic/bott-jean-joseph/
Aubéry du Boulley,Romantic,https://www.cglib.org/category/romantic/boulley-aubery-du/
Louis Brachet,Romantic,https://www.cglib.org/category/romantic/brachet-louis/
Gaetano Braga,Romantic,https://www.cglib.org/category/romantic/braga-gaetano/
Johannes Brahms,Romantic,https://www.cglib.org/category/romantic/brahms-johannes/
F Brandau,Romantic,https://www.cglib.org/category/romantic/brandau-f-w/
Giuseppe Branzoli,Romantic,https://www.cglib.org/category/romantic/branzoli-giuseppe/
Jose Broca,Romantic,https://www.cglib.org/category/romantic/broca-jose/
Johann Friedrich Burgmuller,Romantic,https://www.cglib.org/category/romantic/burgmuller-johann-friedrich/
Juan Buscaglia,Romantic,https://www.cglib.org/category/romantic/buscaglia-juan/
Rezio Buscaroli,Romantic,https://www.cglib.org/category/romantic/buscaroli-rezio/
Francesco Calegari,Romantic,https://www.cglib.org/category/romantic/calegari-francesco/
Carl Calsino,Romantic,https://www.cglib.org/category/romantic/calsino-carl/
Jose Campo Castro,Romantic,https://www.cglib.org/category/romantic/campo-castro-jose/
Ignacio Agustín Campo,Romantic,https://www.cglib.org/category/romantic/campo-ignacio-agustin/
C Cannas,Romantic,https://www.cglib.org/category/romantic/cannas-c/
Antonio Cano,Romantic,https://www.cglib.org/category/romantic/cano-antonio/
Federico Cano,Romantic,https://www.cglib.org/category/romantic/cano-federico/
Vicente Caprino Maineri,Romantic,https://www.cglib.org/category/romantic/caprino-maineri-vicente/
Gennaro Caputo,Romantic,https://www.cglib.org/category/romantic/caputo-gennaro/
Carnaud,Romantic,https://www.cglib.org/category/romantic/carnaud/
Ramón Carnicer,Romantic,https://www.cglib.org/category/romantic/carnicer-ramon/
Ermenegildo Carosio,Romantic,https://www.cglib.org/category/romantic/carosio-ermenegildo/
Ettore Carosio,Romantic,https://www.cglib.org/category/romantic/carosio-ettore/
Joaquin Casanovas,Romantic,https://www.cglib.org/category/romantic/casanovas-joaquin/
Luigi Castellacci,Romantic,https://www.cglib.org/category/romantic/castellacci-luigi/
Francesco Castelli,Romantic,https://www.cglib.org/category/romantic/castelli-francesco/
David del Castillo,Romantic,https://www.cglib.org/category/romantic/castillo-david-del/
Juan de Castro,Romantic,https://www.cglib.org/category/romantic/castro-juan-de/
Alfredo Catalani,Romantic,https://www.cglib.org/category/romantic/catalani-alfredo/
Guillermo Cereceda,Romantic,https://www.cglib.org/category/romantic/cereceda-guillermo/
Cecile Chaminade,Romantic,https://www.cglib.org/category/romantic/chaminade-cecile/
Ernest Chausson,Romantic,https://www.cglib.org/category/romantic/chausson-ernest/
Frederic Chopin,Romantic,https://www.cglib.org/category/romantic/chopin-frederic/
Pio Cianchettini,Romantic,https://www.cglib.org/category/romantic/cianchettini-pio/
Don Jose Maria de Ciebra,Romantic,https://www.cglib.org/category/romantic/ciebra-don-jose-maria-de/
Francisco Cimadevilla,Romantic,https://www.cglib.org/category/romantic/cimadevilla-francisco/
Cirineo,Romantic,https://www.cglib.org/category/romantic/cirineo/
Jules Cohen,Romantic,https://www.cglib.org/category/romantic/cohen-jules/
José Conde,Romantic,https://www.cglib.org/category/romantic/conde-jose/
Camillo Consorti,Romantic,https://www.cglib.org/category/romantic/consorti-camillo/
Fernando Cruz Cordero,Romantic,https://www.cglib.org/category/romantic/cordero-fernando-cruz/
José Costa,Romantic,https://www.cglib.org/category/romantic/costa-jose/
Onorato Costa,Romantic,https://www.cglib.org/category/romantic/costa-onorato/
Napoleon Coste,Romantic,https://www.cglib.org/category/romantic/coste-napoleon/
Alfred Cottin,Romantic,https://www.cglib.org/category/romantic/cottin-alfred/
A Cowell,Romantic,https://www.cglib.org/category/romantic/cowell-a/
G Cranz,Romantic,https://www.cglib.org/category/romantic/cranz-g-w-v/
John Thomas Craven,Romantic,https://www.cglib.org/category/romantic/craven-john-thomas/
Frederick William Nicholls Croft,Romantic,https://www.cglib.org/category/romantic/crouch-frederick-william-nicholls/
Saverio Cucci,Romantic,https://www.cglib.org/category/romantic/cucci-saverio/
Friedrich Curschmann,Romantic,https://www.cglib.org/category/romantic/curschmann-friedrich/
Carl Czerny,Romantic,https://www.cglib.org/category/romantic/czerny-carl/
J Dabedeille,Romantic,https://www.cglib.org/category/romantic/dabedeille-j/
Daidi,Romantic,https://www.cglib.org/category/romantic/daidi/
Tomas Damas,Romantic,https://www.cglib.org/category/romantic/damas-tomas/
J Darcier,Romantic,https://www.cglib.org/category/romantic/darcier-j-l/
Adam Darr,Romantic,https://www.cglib.org/category/romantic/darr-adam/
Johann Decker-Schenk,Romantic,https://www.cglib.org/category/romantic/decker-schenk-johann/
Soffren Degen,Romantic,https://www.cglib.org/category/romantic/degen-soffren/
Leo Delibes,Romantic,https://www.cglib.org/category/romantic/delibes-leo/
William R Dempster,Romantic,https://www.cglib.org/category/romantic/dempster-william-r/
George Henry Derwort,Romantic,https://www.cglib.org/category/romantic/derwort-george-henry/
P Desrivières,Romantic,https://www.cglib.org/category/romantic/desrivieres-p-rougeon/
Anton Diabelli,Romantic,https://www.cglib.org/category/romantic/diabelli-anton/
L Dietrich,Romantic,https://www.cglib.org/category/romantic/dietrich-l-v/
T Dipple,Romantic,https://www.cglib.org/category/romantic/dipple-t-j/
Susan Domett,Romantic,https://www.cglib.org/category/romantic/domett-susan/
T Domingo Palacio,Romantic,https://www.cglib.org/category/romantic/domingo-palacio-t/
Gaetano Donizetti,Romantic,https://www.cglib.org/category/romantic/donizetti-gaetano/
Justus Johann Friedrich Dotzauer,Romantic,https://www.cglib.org/category/romantic/dotzauer-justus-johann-friedrich/
Johann Dubez,Romantic,https://www.cglib.org/category/romantic/dubez-johann/
Jean Baptiste Duvernoy,Romantic,https://www.cglib.org/category/romantic/duvernoy-jean-baptiste/
